Date de création	Type	Catégorie	Équipe	Produit	Ligne	Famille	Défaut	Qte défaut	Phase d'origine	Phase de détection
2025-03-22	Scrap	process	Matin	SIM II	sim 2	SIM	boitier cassé	6	insertion rotule	insertion rotule
2025-03-22	Scrap	reglage	Matin	V420284 SIM ELEC	Sim Elec	SIM ELEC	boitier zone rotule cassé	8	insertion automatique de s/e	insertion automatique de s/e
2025-03-22	Scrap	process	Matin	PPC FLEX 2	Flex2	FLEX	Mauvaise  marquage	3	Test électrique Flex 2	Controle finale Flex 2 partie B
2025-03-22	Scrap	process	Matin	PPC FLEX 2	Flex2	FLEX	soudure condo écrasé	3	Soudure condo axiale flex 2	Controle soudure condo axiale et boutrollage
2025-03-22	Scrap	process	Matin	PPC FLEX 2	Flex2	FLEX	Mauvais bouterollage lame balai /boitier	6	Sertissage lamme boitier et boutrollage Flex-2	Mise en place condo axial-Flex2
2025-03-22	Scrap	process	Matin	PPC FLEX 2	Flex2	FLEX	Soudure self  écrasée	5	soudure électrique self / shunt  sur lame Flex2	Controle finale Flex 2 partie B
2025-03-22	Scrap	process	A Midi	PPC VM4/HOARAIRE	VM4 AUTO I	VM4	soudure écrasé	2	soudure électrique rivet et 3éme self	soudure électrique rivet et 3éme self
2025-03-22	Scrap	process	A Midi	PPC VM4/HOARAIRE	VM4 AUTO I	VM4	bakélite cassé	1	montage composants sur convoyeur	soudure électrique PTH & PDM
2025-03-22	Scrap	process	A Midi	VM4 Tower	VM4 Partie A	VM4	Tour brûlée	8	robot  de brasage	robot  de brasage
2025-03-22	Scrap	process	A Midi	ligne 2	Preparation CM4	CM4	PDM endommagé	1	sertissage automatique de 2 inserts+patte de masse	controle préparation
2025-03-22	Scrap	reglage	A Midi	ligne 2	Preparation CM4	CM4	Boitier endommagée	1	sertissage automatique de 2 inserts+patte de masse	controle préparation
2025-03-22	Scrap	defaut	A Midi	ligne 2	Preparation CM4	CM4	Mauvaise soudure self tresse	24	soudure self tresse	montage self/balais sur boitier
2025-03-22	Scrap	defaut	A Midi	ligne 2	Preparation CM4	CM4	Mauvaise soudure self tresse	18	soudure self tresse	controle préparation
2025-03-22	Scrap	process	A Midi	Préparation CM3 réf 779	Preparation CM3	CM3	PDM endommagé	3	Sertissage automatique des pin 1&3&PDM	Retournement
2025-03-22	Scrap	process	A Midi	Préparation CM3 réf 779	Preparation CM3	CM3	Contact endommagé	1	Sertissage automatique des pin 1&3&PDM	Retournement
2025-03-22	Scrap	process	A Midi	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	terminaux mal clippés	2	insertion contact GND et Terminaux au platine	controle finale partie A GEN2 C
2025-03-22	Scrap	process	A Midi	PPC VM4/ANTI HORAIRE	VM4 AUTO I	VM4	reteneur.. cassé	4	montage composants sur convoyeur	montage composants sur convoyeur
2025-03-22	Scrap	process	A Midi	PPC VM4/ANTI HORAIRE	VM4 AUTO I	VM4	soudure écrasé	1	soudure tresse/self M1	soudure tresse/self M1
2025-03-22	Scrap	reglage	A Midi	SIM II	sim 2	SIM	boitier cassé	4	insertion rotule	insertion rotule
2025-03-22	Scrap	process	A Midi	CM4-NL	CM3-CM4 Ligne 2	CM4	vernis sur boitier	2	Vernissage automatique	controle aspect soudure
2025-03-22	Scrap	process	A Midi	PPC FLEX 2	Flex2	FLEX	Mauvais bouterollage lame balai /boitier	6	Boutrollage condo axial-Flex 2	Mise en place condo axial-Flex2
2025-03-22	Scrap	process	A Midi	PPC FLEX 2	Flex2	FLEX	Soudure self  écrasée	5	soudure électrique self / shunt  sur lame Flex2	MEP condo  + PTH + Retournement boitier Flex 2
2025-03-22	Scrap	process	A Midi	PPC FLEX 1	Flex1	FLEX	soudure condo écrasé	6	soudure électrique condo sur lame	Montage self / lame
2025-03-22	Scrap	process	A Midi	PPC FLEX 1	Flex1	FLEX	Soudure self  écrasée	12	soudure électrique self sur lame	MEP condo  + Retournement boitier
2025-03-22	Scrap	process	A Midi	PPC FLEX 1	Flex1	FLEX	Lame déformée	8	Test électrique	Chargement - déchargement boitiersur palette
2025-03-22	Scrap	process	A Midi	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	Terminal déformé	4	insertion contact GND et Terminaux au platine	controle finale partie A GEN2 C
2025-03-22	Scrap	process	A Midi	PPC FLEX 1	Flex1	FLEX	Marquage décalé	5	Test électrique	Chargement - déchargement boitiersur palette
2025-03-22	Scrap	process	A Midi	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	Murée cassé	1	insertion contact GND et Terminaux au platine	controle finale partie A GEN2 C
2025-03-22	Scrap	process	A Midi	B8	B8	B8	soudure self éclaté	1	soudure self N°1	soudure self N°1
2025-03-22	Scrap	process	A Midi	B8	B8	B8	Platine cassé	1	soudure self N°1	soudure self N°1
2025-03-22	Scrap	process	A Midi	T7	T7	Engine Cooling	soudure self éclaté	1	soudure self fusible (self N°2)	soudure self fusible (self N°2)
2025-03-22	Scrap	process	A Midi	B8	B8	B8	soudure self écrasé	5	soudure self fusible (self N°2)	soudure self fusible (self N°2)
2025-03-22	Scrap	process	A Midi	T7	T7	Engine Cooling	soudure self écrasé	1	soudure self N°1	soudure self N°1
2025-03-22	Scrap	process	A Midi	PPC MNG2 2L2C	Mng 2.2	MNG	plaquette cassée	1	passage calibre hauteur guide	passage calibre hauteur guide
